trial_id,loss,accuracy,f1_score,precision,recall,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/lr,config/batch_size,config/epochs,config/freeze,config/model,config/with_mlp
06f9a_00000,0.6521324744591346,62.39316239316239,0.5319148936170213,0.746268656716418,0.4132231404958678,85.49715614318848,True,,,10,9de695fd133e4a41a1f2dbdb78dcabb0,2023-01-11_16-30-54,1673443854,917.5992422103882,22040,DESKTOP-G9R02TV,127.0.0.1,917.5992422103882,0,10,0.0,"0_batch_size=2,freeze=True,lr=0.0005,model=inception_v3,with_mlp=False",0.0005,2,10,True,inception_v3,False
06f9a_00001,0.6339843619583,63.67521367521367,0.6046511627906976,0.6914893617021277,0.5371900826446281,68.09094023704529,True,,,10,86523148edc94ecb83b2130ceebfce85,2023-01-11_16-42-22,1673444542,683.3120849132538,18132,DESKTOP-G9R02TV,127.0.0.1,683.3120849132538,0,10,0.004121065139770508,"1_batch_size=4,freeze=True,lr=0.0005,model=inception_v3,with_mlp=False",0.0005,4,10,True,inception_v3,False
06f9a_00002,0.6381758991469685,64.95726495726495,0.6238532110091742,0.7010309278350515,0.5619834710743802,58.67484974861145,True,,,10,885b293f5e2d45e5aa6999d801a8cba0,2023-01-11_16-52-14,1673445134,587.5181758403778,19760,DESKTOP-G9R02TV,127.0.0.1,587.5181758403778,0,10,0.0,"2_batch_size=8,freeze=True,lr=0.0005,model=inception_v3,with_mlp=False",0.0005,8,10,True,inception_v3,False
06f9a_00003,0.7214436327290331,49.14529914529914,0.6198083067092652,0.5052083333333334,0.8016528925619835,129.0564968585968,True,,,10,f1f370d77bdf4c1cae8212cc803f9037,2023-01-11_17-13-16,1673446396,1258.3175520896912,9620,DESKTOP-G9R02TV,127.0.0.1,1258.3175520896912,0,10,0.0,"3_batch_size=2,freeze=False,lr=0.0005,model=inception_v3,with_mlp=False",0.0005,2,10,False,inception_v3,False
06f9a_00004,0.7202413184011084,56.41025641025641,0.5952380952380952,0.5725190839694656,0.6198347107438017,89.39123106002808,True,,,10,d807164420464acea0c190feb71a61aa,2023-01-11_17-28-11,1673447291,890.6346344947815,22140,DESKTOP-G9R02TV,127.0.0.1,890.6346344947815,0,10,0.01563262939453125,"4_batch_size=4,freeze=False,lr=0.0005,model=inception_v3,with_mlp=False",0.0005,4,10,False,inception_v3,False
06f9a_00005,0.9729639037042601,61.965811965811966,0.642570281124498,0.625,0.6611570247933884,68.02261161804199,True,,,10,5dc7fe8270994fba85b6e1a2d9befd76,2023-01-11_17-39-45,1673447985,689.189875125885,20812,DESKTOP-G9R02TV,127.0.0.1,689.189875125885,0,10,0.0,"5_batch_size=8,freeze=False,lr=0.0005,model=inception_v3,with_mlp=False",0.0005,8,10,False,inception_v3,False
06f9a_00006,0.6492669521233975,63.24786324786324,0.6126126126126127,0.6732673267326733,0.5619834710743802,91.56052851676941,True,,,10,f588ea6810404169815076c2c6f3567a,2023-01-11_17-55-03,1673448903,913.7845125198364,22004,DESKTOP-G9R02TV,127.0.0.1,913.7845125198364,0,10,0.01561880111694336,"6_batch_size=2,freeze=True,lr=0.0001,model=inception_v3,with_mlp=False",0.0001,2,10,True,inception_v3,False
06f9a_00007,0.64293214194795,60.68376068376068,0.6690647482014389,0.5923566878980892,0.768595041322314,67.9118549823761,True,,,10,fff91dc31bc646c3b399c5cc8c420793,2023-01-11_18-06-29,1673449589,681.6463282108307,21436,DESKTOP-G9R02TV,127.0.0.1,681.6463282108307,0,10,0.0,"7_batch_size=4,freeze=True,lr=0.0001,model=inception_v3,with_mlp=False",0.0001,4,10,True,inception_v3,False
06f9a_00008,0.6484693869566306,62.39316239316239,0.639344262295082,0.6341463414634146,0.6446280991735537,58.34847807884216,True,,,10,4f68713d329f4f1088a4e3bac40d554c,2023-01-11_18-16-20,1673450180,586.749196767807,14180,DESKTOP-G9R02TV,127.0.0.1,586.749196767807,0,10,0.0,"8_batch_size=8,freeze=True,lr=0.0001,model=inception_v3,with_mlp=False",0.0001,8,10,True,inception_v3,False
06f9a_00009,0.8577882815630008,61.111111111111114,0.5767441860465115,0.6595744680851063,0.512396694214876,125.80288100242615,True,,,10,2d41e7fb195d428b973c7633ad3bee6a,2023-01-11_18-37-17,1673451437,1251.7756242752075,8220,DESKTOP-G9R02TV,127.0.0.1,1251.7756242752075,0,10,0.0,"9_batch_size=2,freeze=False,lr=0.0001,model=inception_v3,with_mlp=False",0.0001,2,10,False,inception_v3,False
